A,B,row,col,re,im
0,2,127,126,0.5,0.0
0,3,0,64,0.0,0.5
0,3,1,3,0.0,-0.5
0,3,2,5,0.0,-0.5
0,3,3,1,0.0,-0.5
0,3,4,9,0.0,-0.5
0,3,5,2,0.0,-0.5
0,3,6,97,0.0,0.5
0,3,7,15,0.0,-0.5
0,3,8,17,0.0,-0.5
0,3,9,4,0.0,-0.5
0,3,10,98,0.0,0.5
0,3,11,23,0.0,-0.5
0,3,12,81,0.0,0.5
0,3,13,27,0.0,-0.5
0,3,14,29,0.0,-0.5
0,3,15,7,0.0,-0.5
0,3,16,33,0.0,-0.5
0,3,17,8,0.0,-0.5
0,3,18,100,0.0,0.5
0,3,19,39,0.0,-0.5
0,3,20,82,0.0,0.5
0,3,21,43,0.0,-0.5
0,3,22,45,0.0,-0.5
0,3,23,11,0.0,-0.5
0,3,24,73,0.0,0.5
0,3,25,51,0.0,-0.5
0,3,26,53,0.0,-0.5
0,3,27,13,0.0,-0.5
0,3,28,57,0.0,-0.5
0,3,29,14,0.0,-0.5
0,3,30,103,0.0,0.5
0,3,31,63,0.0,-0.5
0,3,32,65,0.0,-0.5
0,3,33,16,0.0,-0.5
0,3,34,104,0.0,0.5
0,3,35,71,0.0,-0.5
0,3,36,84,0.0,0.5
0,3,37,75,0.0,-0.5
0,3,38,77,0.0,-0.5
0,3,39,19,0.0,-0.5
0,3,40,74,0.0,0.5
0,3,41,83,0.0,-0.5
0,3,42,85,0.0,-0.5
0,3,43,21,0.0,-0.5
0,3,44,89,0.0,-0.5
0,3,45,22,0.0,-0.5
0,3,46,107,0.0,0.5
0,3,47,95,0.0,-0.5
0,3,48,69,0.0,0.5
0,3,49,99,0.0,-0.5
0,3,50,101,0.0,-0.5
0,3,51,25,0.0,-0.5
0,3,52,105,0.0,-0.5
0,3,53,26,0.0,-0.5
0,3,54,109,0.0,0.5
0,3,55,111,0.0,-0.5
0,3,56,113,0.0,-0.5
0,3,57,28,0.0,-0.5
0,3,58,110,0.0,0.5
0,3,59,119,0.0,-0.5
0,3,60,87,0.0,0.5
0,3,61,123,0.0,-0.5
0,3,62,125,0.0,-0.5
0,3,63,31,0.0,-0.5
0,3,64,0,0.0,0.5
0,3,65,32,0.0,-0.5
0,3,66,112,0.0,0.5
0,3,67,96,0.0,0.5
0,3,68,88,0.0,0.5
0,3,69,48,0.0,0.5
0,3,70,80,0.0,0.5
0,3,71,35,0.0,-0.5
0,3,72,76,0.0,0.5
0,3,73,24,0.0,0.5
0,3,74,40,0.0,0.5
0,3,75,37,0.0,-0.5
0,3,76,72,0.0,0.5
0,3,77,38,0.0,-0.5
0,3,78,115,0.0,0.5
0,3,79,120,0.0,0.5
0,3,80,70,0.0,0.5
0,3,81,12,0.0,0.5
0,3,82,20,0.0,0.5
0,3,83,41,0.0,-0.5
0,3,84,36,0.0,0.5
0,3,85,42,0.0,-0.5
0,3,86,117,0.0,0.5
0,3,87,60,0.0,0.5
0,3,88,68,0.0,0.5
0,3,89,44,0.0,-0.5
0,3,90,118,0.0,0.5
0,3,91,92,0.0,0.5
0,3,92,91,0.0,0.5
0,3,93,108,0.0,0.5
0,3,94,116,0.0,0.5
0,3,95,47,0.0,-0.5
0,3,96,67,0.0,0.5
0,3,97,6,0.0,0.5
0,3,98,10,0.0,0.5
0,3,99,49,0.0,-0.5
0,3,100,18,0.0,0.5
0,3,101,50,0.0,-0.5
0,3,102,121,0.0,0.5
0,3,103,30,0.0,0.5
0,3,104,34,0.0,0.5
0,3,105,52,0.0,-0.5
0,3,106,122,0.0,0.5
0,3,107,46,0.0,0.5
0,3,108,93,0.0,0.5
0,3,109,54,0.0,0.5
0,3,110,58,0.0,0.5
0,3,111,55,0.0,-0.5
0,3,112,66,0.0,0.5
0,3,113,56,0.0,-0.5
0,3,114,124,0.0,0.5
0,3,115,78,0.0,0.5
0,3,116,94,0.0,0.5
0,3,117,86,0.0,0.5
0,3,118,90,0.0,0.5
0,3,119,59,0.0,-0.5
0,3,120,79,0.0,0.5
0,3,121,102,0.0,0.5
0,3,122,106,0.0,0.5
0,3,123,61,0.0,-0.5
0,3,124,114,0.0,0.5
0,3,125,62,0.0,-0.5
0,3,126,127,0.0,0.5
0,3,127,126,0.0,0.5
0,4,0,32,-0.5,0.0
0,4,1,6,0.5,0.0
0,4,2,10,0.5,0.0
0,4,3,97,0.5,0.0
0,4,4,18,0.5,0.0
0,4,5,98,0.5,0.0
0,4,6,1,-0.5,0.0
0,4,7,30,0.5,0.0
0,4,8,34,0.5,0.0
0,4,9,100,0.5,0.0
0,4,10,2,-0.5,0.0
0,4,11,46,0.5,0.0
0,4,12,49,-0.5,0.0
0,4,13,54,0.5,0.0
0,4,14,58,0.5,0.0
0,4,15,103,0.5,0.0
0,4,16,66,0.5,0.0
0,4,17,104,0.5,0.0
0,4,18,4,-0.5,0.0
0,4,19,78,0.5,0.0
0,4,20,50,-0.5,0.0
0,4,21,86,0.5,0.0
0,4,22,90,0.5,0.0
0,4,23,107,0.5,0.0
0,4,24,41,-0.5,0.0
0,4,25,102,0.5,0.0
0,4,26,106,0.5,0.0
0,4,27,109,0.5,0.0
0,4,28,114,0.5,0.0
0,4,29,110,0.5,0.0
0,4,30,7,-0.5,0.0
0,4,31,126,0.5,0.0
0,4,32,0,0.5,0.0
0,4,33,112,0.5,0.0
0,4,34,8,-0.5,0.0
0,4,35,96,0.5,0.0
0,4,36,52,-0.5,0.0
0,4,37,48,0.5,0.0
0,4,38,80,0.5,0.0
0,4,39,115,0.5,0.0
0,4,40,42,-0.5,0.0
0,4,41,24,0.5,0.0
0,4,42,40,0.5,0.0
0,4,43,117,0.5,0.0
0,4,44,72,0.5,0.0
0,4,45,118,0.5,0.0
0,4,46,11,-0.5,0.0
0,4,47,120,0.5,0.0
0,4,48,37,-0.5,0.0
0,4,49,12,0.5,0.0
0,4,50,20,0.5,0.0
0,4,51,121,0.5,0.0
0,4,52,36,0.5,0.0
0,4,53,122,0.5,0.0
0,4,54,13,-0.5,0.0
0,4,55,60,0.5,0.0
0,4,56,68,0.5,0.0
0,4,57,124,0.5,0.0
0,4,58,14,-0.5,0.0
0,4,59,92,0.5,0.0
0,4,60,55,-0.5,0.0
0,4,61,108,0.5,0.0
0,4,62,116,0.5,0.0
0,4,63,127,0.5,0.0
0,4,64,65,-0.5,0.0
0,4,65,64,0.5,0.0
0,4,66,16,-0.5,0.0
0,4,67,71,-0.5,0.0
0,4,68,56,-0.5,0.0
0,4,69,75,-0.5,0.0
0,4,70,77,-0.5,0.0
0,4,71,67,0.5,0.0
0,4,72,44,-0.5,0.0
0,4,73,83,-0.5,0.0
0,4,74,85,-0.5,0.0
0,4,75,69,0.5,0.0
0,4,76,89,-0.5,0.0
0,4,77,70,0.5,0.0
0,4,78,19,-0.5,0.0
0,4,79,95,-0.5,0.0
0,4,80,38,-0.5,0.0
0,4,81,99,-0.5,0.0
0,4,82,101,-0.5,0.0
0,4,83,73,0.5,0.0
0,4,84,105,-0.5,0.0
0,4,85,74,0.5,0.0
0,4,86,21,-0.5,0.0
0,4,87,111,-0.5,0.0
0,4,88,113,-0.5,0.0
0,4,89,76,0.5,0.0
0,4,90,22,-0.5,0.0
0,4,91,119,-0.5,0.0
0,4,92,59,-0.5,0.0
0,4,93,123,-0.5,0.0
0,4,94,125,-0.5,0.0
0,4,95,79,0.5,0.0
0,4,96,35,-0.5,0.0
0,4,97,3,-0.5,0.0
0,4,98,5,-0.5,0.0
0,4,99,81,0.5,0.0
0,4,100,9,-0.5,0.0
0,4,101,82,0.5,0.0
0,4,102,25,-0.5,0.0
0,4,103,15,-0.5,0.0
0,4,104,17,-0.5,0.0
0,4,105,84,0.5,0.0
0,4,106,26,-0.5,0.0
0,4,107,23,-0.5,0.0
0,4,108,61,-0.5,0.0
0,4,109,27,-0.5,0.0
0,4,110,29,-0.5,0.0
0,4,111,87,0.5,0.0
0,4,112,33,-0.5,0.0
0,4,113,88,0.5,0.0
0,4,114,28,-0.5,0.0
0,4,115,39,-0.5,0.0
0,4,116,62,-0.5,0.0
0,4,117,43,-0.5,0.0
0,4,118,45,-0.5,0.0
0,4,119,91,0.5,0.0
0,4,120,47,-0.5,0.0
0,4,121,51,-0.5,0.0
